frame,left,right
000000.jpg,0.0,0.0
000001.jpg,0.0,0.0
000002.jpg,0.0,0.0
000003.jpg,0.0,0.0
000004.jpg,0.0,0.0
000005.jpg,0.0,0.0
000006.jpg,0.0,0.0
000007.jpg,0.0,0.0
000008.jpg,0.0,0.0
000009.jpg,0.0,0.0
000010.jpg,0.0,0.0
000011.jpg,0.0,0.0
000012.jpg,0.0,0.0
000013.jpg,0.0,0.0
000014.jpg,0.0,0.0
000015.jpg,0.0,0.0
000016.jpg,0.0,0.0
000017.jpg,0.0,0.0
000018.jpg,0.0,0.0
000019.jpg,0.0,0.0
000020.jpg,0.0,0.0
000021.jpg,0.0,0.0
000022.jpg,0.0,0.0
000023.jpg,0.0,0.0
000024.jpg,0.0,0.0
000025.jpg,0.0,0.0
000026.jpg,0.0,0.0
000027.jpg,0.0,0.0
000028.jpg,0.0,0.0
000029.jpg,0.0,0.0
000030.jpg,0.0,0.0
000031.jpg,0.0,0.0
000032.jpg,0.0,0.0
000033.jpg,0.0,0.0
000034.jpg,0.0,0.0
000035.jpg,0.2,0.2
000036.jpg,0.2,0.2
000037.jpg,0.2,0.2
000038.jpg,0.2,0.2
000039.jpg,0.2,0.2
000040.jpg,0.2,0.2
000041.jpg,0.2,0.2
000042.jpg,0.2,0.2
000043.jpg,0.2,0.2
000044.jpg,0.2,0.2
000045.jpg,0.2,0.2
000046.jpg,0.2,0.2
000047.jpg,0.2,0.2
000048.jpg,0.2,0.2
000049.jpg,0.2,0.2
000050.jpg,0.2,0.2
000051.jpg,0.2,0.2
000052.jpg,0.2,0.2
000053.jpg,0.2,0.2
000054.jpg,0.2,0.2
000055.jpg,0.2,0.2
000056.jpg,0.2,0.2
000057.jpg,0.2,0.2
000058.jpg,0.2,0.2
000059.jpg,0.2,0.2
000060.jpg,0.2,0.2
000061.jpg,0.2,0.2
000062.jpg,0.2,0.2
000063.jpg,0.2,0.2
000064.jpg,0.2,0.2
000065.jpg,0.2,0.2
000066.jpg,0.2,0.2
000067.jpg,0.2,0.2
000068.jpg,0.2,0.2
000069.jpg,0.2,0.2
000070.jpg,0.2,0.2
000071.jpg,0.2,0.2
000072.jpg,0.2,0.2
000073.jpg,0.2,0.2
000074.jpg,0.2,0.2
000075.jpg,0.2,0.2
000076.jpg,0.2,0.2
000077.jpg,0.2,0.2
000078.jpg,0.2,0.2
000079.jpg,0.2,0.2
000080.jpg,0.2,0.2
000081.jpg,0.2,0.2
000082.jpg,0.2,0.2
000083.jpg,0.2,0.2
000084.jpg,0.2,0.2
000085.jpg,0.2,0.2
000086.jpg,0.2,0.2
000087.jpg,0.2,0.2
000088.jpg,0.2,0.2
000089.jpg,0.2,0.2
000090.jpg,0.2,0.2
000091.jpg,0.2,0.2
000092.jpg,0.2,0.2
000093.jpg,0.2,0.2
000094.jpg,0.2,0.2
000095.jpg,0.2,0.2
000096.jpg,0.2,0.2
000097.jpg,0.2,0.2
000098.jpg,0.2,0.2
000099.jpg,0.2,0.2
000100.jpg,0.2,0.2
000101.jpg,0.2,0.2
000102.jpg,0.2,0.2
000103.jpg,0.2,0.2
000104.jpg,0.2,0.2
000105.jpg,0.2,0.2
000106.jpg,0.2,0.2
000107.jpg,0.2,0.2
000108.jpg,0.0,0.0
000109.jpg,0.0,0.0
000110.jpg,0.0,0.0
000111.jpg,0.0,0.0
000112.jpg,0.0,0.0
000113.jpg,0.0,0.0
000114.jpg,0.0,0.0
000115.jpg,0.0,0.0
000116.jpg,0.0,0.0
000117.jpg,0.2,-0.2
000118.jpg,0.2,-0.2
000119.jpg,0.2,-0.2
000120.jpg,0.2,-0.2
000121.jpg,0.2,-0.2
000122.jpg,0.2,-0.2
000123.jpg,0.2,-0.2
000124.jpg,0.2,-0.2
000125.jpg,0.2,-0.2
000126.jpg,0.2,-0.2
000127.jpg,0.2,-0.2
000128.jpg,0.2,-0.2
000129.jpg,0.2,-0.2
000130.jpg,0.2,-0.2
000131.jpg,0.2,-0.2
