frame,left,right
000000.jpg,0.0,0.0
000001.jpg,0.1061,0.1061
000002.jpg,0.24,0.24
000003.jpg,0.24,0.24
000004.jpg,0.24,0.24
000005.jpg,0.24,0.24
000006.jpg,0.24,0.24
000007.jpg,0.24,0.24
000008.jpg,0.24,0.24
000009.jpg,0.24,0.24
000010.jpg,0.24,0.24
000011.jpg,0.24,0.24
000012.jpg,0.312,-0.0782
000013.jpg,0.24,0.0181
000014.jpg,0.24,0.2302
000015.jpg,0.24,0.24
000016.jpg,0.24,0.24
000017.jpg,0.24,0.24
000018.jpg,0.24,0.24
000019.jpg,0.24,0.24
000020.jpg,0.24,0.24
000021.jpg,0.24,0.24
000022.jpg,0.24,0.24
000023.jpg,0.24,0.24
000024.jpg,0.24,0.24
000025.jpg,0.312,-0.0782
000026.jpg,0.24,0.0181
000027.jpg,0.24,0.2302
000028.jpg,0.24,0.24
000029.jpg,0.24,0.24
000030.jpg,0.24,0.24
000031.jpg,0.24,0.24
000032.jpg,0.24,0.24
000033.jpg,0.24,0.24
000034.jpg,0.24,0.24
000035.jpg,0.24,0.24
000036.jpg,0.312,-0.0782
000037.jpg,0.312,-0.088
000038.jpg,0.312,-0.088
000039.jpg,0.312,-0.088
000040.jpg,0.24,0.1242
000041.jpg,0.24,0.24
000042.jpg,0.24,0.24
000043.jpg,0.24,0.24
000044.jpg,0.312,0.1402
000045.jpg,0.312,-0.072
000046.jpg,0.312,-0.088
000047.jpg,0.24,0.0181
000048.jpg,0.24,0.2302
000049.jpg,0.24,0.24
000050.jpg,0.24,0.24
000051.jpg,0.24,0.24
000052.jpg,0.24,0.24
000053.jpg,0.24,0.24
000054.jpg,0.24,0.24
000055.jpg,0.24,0.24
000056.jpg,0.24,0.24
000057.jpg,0.24,0.24
000058.jpg,0.24,0.24
000059.jpg,0.24,0.24
000060.jpg,0.24,0.24
000061.jpg,0.24,0.24
000062.jpg,0.24,0.24
000063.jpg,0.24,0.24
000064.jpg,0.24,0.24
000065.jpg,0.24,0.24
000066.jpg,0.24,0.24
000067.jpg,0.24,0.24
000068.jpg,0.24,0.24
000069.jpg,0.24,0.24
000070.jpg,0.24,0.24
000071.jpg,0.312,0.0278
000072.jpg,0.312,-0.088
000073.jpg,0.312,-0.088
000074.jpg,0.24,0.0181
000075.jpg,0.24,0.224
