frame,left,right
000000.jpg,0.0,0.0
000001.jpg,0.0,0.0
000002.jpg,0.2152,0.2152
000003.jpg,0.2434,0.2434
000004.jpg,0.2434,0.2434
000005.jpg,0.2434,0.2434
000006.jpg,0.2434,0.2434
000007.jpg,0.2434,0.2434
000008.jpg,0.2434,0.2434
000009.jpg,0.2434,0.2434
000010.jpg,0.2434,0.2434
000011.jpg,0.2434,0.2434
000012.jpg,-0.073,0.3164
000013.jpg,-0.0921,0.3164
000014.jpg,0.0155,0.2434
000015.jpg,0.2307,0.2434
000016.jpg,0.2434,0.2434
000017.jpg,0.2434,0.2434
000018.jpg,0.2434,0.2434
000019.jpg,0.2434,0.2434
000020.jpg,0.2434,0.2434
000021.jpg,0.2434,0.2434
000022.jpg,0.2434,0.2434
000023.jpg,0.3164,0.0282
000024.jpg,0.3164,-0.0921
000025.jpg,0.2434,0.1168
000026.jpg,0.2434,0.2434
000027.jpg,0.2434,0.2434
000028.jpg,0.2434,0.2434
000029.jpg,0.2434,0.2434
000030.jpg,0.2434,0.2434
000031.jpg,0.2434,0.2434
000032.jpg,0.2434,0.2434
000033.jpg,0.2434,0.2434
000034.jpg,0.3164,0.0346
000035.jpg,0.3164,-0.0921
000036.jpg,0.2434,0.1231
000037.jpg,0.2434,0.2434
000038.jpg,0.2434,0.2434
000039.jpg,0.2434,0.2434
000040.jpg,0.2434,0.2434
000041.jpg,0.2434,0.2434
000042.jpg,0.2434,0.2434
000043.jpg,0.2434,0.2434
000044.jpg,0.2434,0.2434
000045.jpg,0.2434,0.2434
000046.jpg,0.2434,0.2434
000047.jpg,0.2434,0.2434
000048.jpg,0.2434,0.2434
000049.jpg,0.3164,-0.0793
000050.jpg,0.3164,-0.0921
000051.jpg,0.2434,0.0155
000052.jpg,0.2434,0.2307
000053.jpg,0.2434,0.2434
000054.jpg,0.2434,0.2434
000055.jpg,0.2434,0.2434
000056.jpg,0.2434,0.2434
000057.jpg,0.2434,0.2434
000058.jpg,0.2434,0.2434
000059.jpg,0.2434,0.2434
000060.jpg,0.2434,0.2434
000061.jpg,0.2434,0.2434
000062.jpg,0.2434,0.2434
000063.jpg,0.2434,0.2434
000064.jpg,0.2434,0.2434
000065.jpg,0.2434,0.2434
000066.jpg,0.2434,0.2434
000067.jpg,0.2434,0.2434
000068.jpg,0.2434,0.2434
000069.jpg,0.2434,0.2434
000070.jpg,0.2434,0.2434
000071.jpg,0.2434,0.2434
000072.jpg,0.2434,0.2434
000073.jpg,0.2434,0.2434
000074.jpg,0.2434,0.2434
000075.jpg,0.2434,0.2434
000076.jpg,0.2434,0.2434
000077.jpg,0.2434,0.2434
000078.jpg,0.2434,0.2434
000079.jpg,0.2434,0.2434
000080.jpg,0.2434,0.2434
000081.jpg,0.2434,0.2434
000082.jpg,0.3164,0.0219
000083.jpg,0.3164,-0.0921
000084.jpg,0.3164,-0.0921
000085.jpg,0.3164,-0.0921
000086.jpg,0.3164,-0.0921
000087.jpg,0.2434,0.1231
000088.jpg,0.2434,0.2434
000089.jpg,0.2434,0.2434
000090.jpg,0.2434,0.2434
000091.jpg,0.2434,0.2434
000092.jpg,0.2434,0.2434
000093.jpg,0.2434,0.2434
000094.jpg,0.2434,0.2434
000095.jpg,0.2434,0.2434
000096.jpg,0.3164,0.0282
000097.jpg,0.3164,-0.0921
000098.jpg,0.3164,-0.0921
000099.jpg,0.3164,-0.0921
000100.jpg,0.2434,0.2243
000101.jpg,0.2434,0.2434
000102.jpg,0.2434,0.2434
000103.jpg,0.2434,0.2434
000104.jpg,0.2434,0.2434
000105.jpg,0.3164,0.1358
000106.jpg,0.3164,-0.0793
000107.jpg,0.3164,-0.0921
000108.jpg,0.2434,0.1231
000109.jpg,0.2434,0.2434
000110.jpg,0.3164,0.0282
000111.jpg,0.3164,-0.0921
000112.jpg,0.3164,-0.0921
000113.jpg,0.3164,-0.0921
000114.jpg,0.3164,-0.0921
000115.jpg,0.3164,-0.0921
000116.jpg,0.3164,-0.0921
